! 1H energy loss (dE/dX) in Cr2O3
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.198835  	0.001000	0.0685327 	0.001000	0.0755572 	0.001000	0.0755572 	0.001000	0.075511  	0.001000	0.060312  	0.001000	0.0082208 	
0.002000	0.241703  	0.002000	0.0892945 	0.002000	0.0988901 	0.002000	0.0988901 	0.002000	0.0988571 	0.002000	0.0823886 	0.002000	0.00690596	
0.005000	0.321167  	0.005000	0.129265  	0.005000	0.143757  	0.005000	0.143757  	0.005000	0.143739  	0.005000	0.124434  	0.005000	0.00483027	
0.008000	0.374726  	0.008000	0.157563  	0.008000	0.175469  	0.008000	0.175469  	0.008000	0.175457  	0.008000	0.153742  	0.008000	0.00382078	
0.010000	0.403699  	0.010000	0.173364  	0.010000	0.193161  	0.010000	0.193161  	0.010000	0.193151  	0.010000	0.169982  	0.010000	0.00338181	
0.015000	0.487402  	0.015000	0.211462  	0.015000	0.230433  	0.015000	0.230433  	0.015000	0.230426  	0.015000	0.208795  	0.015000	0.00266649	
0.020000	0.555885  	0.020000	0.241889  	0.020000	0.261474  	0.020000	0.261474  	0.020000	0.261468  	0.020000	0.239661  	0.020000	0.00222759	
0.025000	0.612489  	0.025000	0.2673    	0.025000	0.288549  	0.025000	0.288549  	0.025000	0.288545  	0.025000	0.265381  	0.025000	0.00191893	
0.030000	0.65898   	0.030000	0.288815  	0.030000	0.316395  	0.030000	0.316395  	0.030000	0.316391  	0.030000	0.287116  	0.030000	0.0016985 	
0.035000	0.696513  	0.035000	0.307078  	0.035000	0.33741   	0.035000	0.33741   	0.035000	0.337407  	0.035000	0.30555   	0.035000	0.00152849	
0.040000	0.725995  	0.040000	0.32258   	0.040000	0.352829  	0.040000	0.352829  	0.040000	0.352827  	0.040000	0.321187  	0.040000	0.00139282	
0.045000	0.74824   	0.045000	0.335717  	0.045000	0.364069  	0.045000	0.364069  	0.045000	0.364067  	0.045000	0.334435  	0.045000	0.00128169	
0.050000	0.764027  	0.050000	0.346818  	0.050000	0.372337  	0.050000	0.372337  	0.050000	0.372335  	0.050000	0.345629  	0.050000	0.00118878	
0.055000	0.774127  	0.055000	0.35616   	0.055000	0.378517  	0.055000	0.378517  	0.055000	0.378515  	0.055000	0.35505   	0.055000	0.00110978	
0.060000	0.779293  	0.060000	0.363976  	0.060000	0.383207  	0.060000	0.383207  	0.060000	0.383206  	0.060000	0.362935  	0.060000	0.00104169	
0.070000	0.77771   	0.070000	0.375792  	0.070000	0.389536  	0.070000	0.389536  	0.070000	0.389535  	0.070000	0.374868  	0.070000	0.000924836	
0.080000	0.764581  	0.080000	0.383544  	0.080000	0.393096  	0.080000	0.393096  	0.080000	0.393095  	0.080000	0.382707  	0.080000	0.000837446	
0.090000	0.744271  	0.090000	0.388166  	0.090000	0.394697  	0.090000	0.394697  	0.090000	0.394696  	0.090000	0.3874    	0.090000	0.000766518	
0.100000	0.720087  	0.100000	0.390368  	0.100000	0.394799  	0.100000	0.394799  	0.100000	0.394798  	0.100000	0.38966   	0.100000	0.000707676	
0.120000	0.668606  	0.120000	0.389569  	0.120000	0.391683  	0.120000	0.391683  	0.120000	0.391682  	0.120000	0.388954  	0.120000	0.000615413	
0.140000	0.620322  	0.140000	0.38422   	0.140000	0.385511  	0.140000	0.385511  	0.140000	0.385511  	0.140000	0.383674  	0.140000	0.000546109	
0.160000	0.578404  	0.160000	0.376229  	0.160000	0.377447  	0.160000	0.377447  	0.160000	0.377446  	0.160000	0.375737  	0.160000	0.000491953	
0.180000	0.542987  	0.180000	0.366802  	0.180000	0.368278  	0.180000	0.368278  	0.180000	0.368278  	0.180000	0.366353  	0.180000	0.000448352	
0.200000	0.513187  	0.200000	0.356704  	0.200000	0.358541  	0.200000	0.358541  	0.200000	0.358541  	0.200000	0.356291  	0.200000	0.000412422	
0.250000	0.456593  	0.250000	0.331246  	0.250000	0.333785  	0.250000	0.333785  	0.250000	0.333785  	0.250000	0.330901  	0.250000	0.000345025	
0.300000	0.416239  	0.300000	0.307754  	0.300000	0.310426  	0.300000	0.310426  	0.300000	0.310426  	0.300000	0.307456  	0.300000	0.000297794	
